task_id,source_model_path,output_model_path,source_cost,output_cost,cost_delta,source_file_size_bytes,output_file_size_bytes,file_size_delta,source_initializer_count,output_initializer_count,compressed_initializers,compressed_initializer_elements
task267,outputs\onnx\task267.onnx,outputs\candidates\dtype_ablation_20260609\task267_InitializerDtypeCompression.onnx,591,591,0,1624,1624,0,13,13,0,0
task268,outputs\onnx\task268.onnx,outputs\candidates\dtype_ablation_20260609\task268_InitializerDtypeCompression.onnx,791,791,0,19789,19789,0,30,30,0,0
task269,outputs\onnx\task269.onnx,outputs\candidates\dtype_ablation_20260609\task269_InitializerDtypeCompression.onnx,568,568,0,3349,3349,0,18,18,0,0
task270,outputs\onnx\task270.onnx,outputs\candidates\dtype_ablation_20260609\task270_InitializerDtypeCompression.onnx,2660,1310,-1350,10862,9662,-1200,21,21,2,450
task271,outputs\onnx\task271.onnx,outputs\candidates\dtype_ablation_20260609\task271_InitializerDtypeCompression.onnx,439,439,0,1993,1993,0,10,10,0,0
task272,outputs\onnx\task272.onnx,outputs\candidates\dtype_ablation_20260609\task272_InitializerDtypeCompression.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task273,outputs\onnx\task273.onnx,outputs\candidates\dtype_ablation_20260609\task273_InitializerDtypeCompression.onnx,270,270,0,2414,2414,0,13,13,0,0
task274,outputs\onnx\task274.onnx,outputs\candidates\dtype_ablation_20260609\task274_InitializerDtypeCompression.onnx,2057,977,-1080,3619,2626,-993,11,11,1,360
task275,outputs\onnx\task275.onnx,outputs\candidates\dtype_ablation_20260609\task275_InitializerDtypeCompression.onnx,8736,6036,-2700,24193,21673,-2520,27,27,3,2700
task276,outputs\onnx\task276.onnx,outputs\candidates\dtype_ablation_20260609\task276_InitializerDtypeCompression.onnx,90,90,0,217,217,0,1,1,0,0
task277,outputs\onnx\task277.onnx,outputs\candidates\dtype_ablation_20260609\task277_InitializerDtypeCompression.onnx,29850,25179,-4671,57052,53358,-3694,39,39,8,1557
task278,outputs\onnx\task278.onnx,outputs\candidates\dtype_ablation_20260609\task278_InitializerDtypeCompression.onnx,1923,951,-972,3294,2397,-897,13,13,1,324
task279,outputs\onnx\task279.onnx,outputs\candidates\dtype_ablation_20260609\task279_InitializerDtypeCompression.onnx,1510,742,-768,4658,3950,-708,8,8,1,256
task280,outputs\onnx\task280.onnx,outputs\candidates\dtype_ablation_20260609\task280_InitializerDtypeCompression.onnx,396,396,0,16655,16655,0,11,11,0,0
task281,outputs\onnx\task281.onnx,outputs\candidates\dtype_ablation_20260609\task281_InitializerDtypeCompression.onnx,2499,2499,0,7659,7659,0,15,15,0,0
task282,outputs\onnx\task282.onnx,outputs\candidates\dtype_ablation_20260609\task282_InitializerDtypeCompression.onnx,4500,4500,0,3798,3798,0,1,1,0,0
task283,outputs\onnx\task283.onnx,outputs\candidates\dtype_ablation_20260609\task283_InitializerDtypeCompression.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task284,outputs\onnx\task284.onnx,outputs\candidates\dtype_ablation_20260609\task284_InitializerDtypeCompression.onnx,19017,6417,-12600,30975,18531,-12444,19,19,2,1800
task285,outputs\onnx\task285.onnx,outputs\candidates\dtype_ablation_20260609\task285_InitializerDtypeCompression.onnx,10215,7515,-2700,32591,29975,-2616,37,37,1,900
task286,outputs\onnx\task286.onnx,outputs\candidates\dtype_ablation_20260609\task286_InitializerDtypeCompression.onnx,4145,2895,-1250,13714,12623,-1091,20,20,2,1250
task287,outputs\onnx\task287.onnx,outputs\candidates\dtype_ablation_20260609\task287_InitializerDtypeCompression.onnx,247,247,0,1686,1686,0,13,13,0,0
task288,outputs\onnx\task288.onnx,outputs\candidates\dtype_ablation_20260609\task288_InitializerDtypeCompression.onnx,353,353,0,7847,7847,0,15,15,0,0
task289,outputs\onnx\task289.onnx,outputs\candidates\dtype_ablation_20260609\task289_InitializerDtypeCompression.onnx,520,520,0,2883,2883,0,17,17,0,0
task290,outputs\onnx\task290.onnx,outputs\candidates\dtype_ablation_20260609\task290_InitializerDtypeCompression.onnx,35612,9838,-25774,38476,13622,-24854,42,42,11,3682
task291,outputs\onnx\task291.onnx,outputs\candidates\dtype_ablation_20260609\task291_InitializerDtypeCompression.onnx,4731,2031,-2700,6009,3381,-2628,9,9,1,900
task292,outputs\onnx\task292.onnx,outputs\candidates\dtype_ablation_20260609\task292_InitializerDtypeCompression.onnx,621,621,0,1411,1411,0,9,9,0,0
task293,outputs\onnx\task293.onnx,outputs\candidates\dtype_ablation_20260609\task293_InitializerDtypeCompression.onnx,4377,1227,-3150,9897,6903,-2994,20,20,2,450
task294,outputs\onnx\task294.onnx,outputs\candidates\dtype_ablation_20260609\task294_InitializerDtypeCompression.onnx,4550,4550,0,3825,3825,0,2,2,0,0
task295,outputs\onnx\task295.onnx,outputs\candidates\dtype_ablation_20260609\task295_InitializerDtypeCompression.onnx,389,389,0,2771,2771,0,11,11,0,0
task296,outputs\onnx\task296.onnx,outputs\candidates\dtype_ablation_20260609\task296_InitializerDtypeCompression.onnx,1877,932,-945,2843,1982,-861,11,11,1,315
task297,outputs\onnx\task297.onnx,outputs\candidates\dtype_ablation_20260609\task297_InitializerDtypeCompression.onnx,364,364,0,2651,2651,0,17,17,0,0
task298,outputs\onnx\task298.onnx,outputs\candidates\dtype_ablation_20260609\task298_InitializerDtypeCompression.onnx,2786,1304,-1482,5059,4005,-1054,19,19,7,494
task299,outputs\onnx\task299.onnx,outputs\candidates\dtype_ablation_20260609\task299_InitializerDtypeCompression.onnx,414,414,0,1980,1980,0,8,8,0,0
task300,outputs\onnx\task300.onnx,outputs\candidates\dtype_ablation_20260609\task300_InitializerDtypeCompression.onnx,1113,1113,0,4688,4688,0,14,14,0,0
task301,outputs\onnx\task301.onnx,outputs\candidates\dtype_ablation_20260609\task301_InitializerDtypeCompression.onnx,16567,3967,-12600,19240,6795,-12445,10,10,2,1800
task302,outputs\onnx\task302.onnx,outputs\candidates\dtype_ablation_20260609\task302_InitializerDtypeCompression.onnx,257,257,0,3609,3609,0,10,10,0,0
task303,outputs\onnx\task303.onnx,outputs\candidates\dtype_ablation_20260609\task303_InitializerDtypeCompression.onnx,1550,1550,0,2084,2084,0,4,4,0,0
task304,outputs\onnx\task304.onnx,outputs\candidates\dtype_ablation_20260609\task304_InitializerDtypeCompression.onnx,538,295,-243,2136,1963,-173,9,9,1,81
task305,outputs\onnx\task305.onnx,outputs\candidates\dtype_ablation_20260609\task305_InitializerDtypeCompression.onnx,1452,1452,0,1865,1865,0,4,4,0,0
task306,outputs\onnx\task306.onnx,outputs\candidates\dtype_ablation_20260609\task306_InitializerDtypeCompression.onnx,610,610,0,4101,4101,0,32,32,0,0
task307,outputs\onnx\task307.onnx,outputs\candidates\dtype_ablation_20260609\task307_InitializerDtypeCompression.onnx,9000,9000,0,7454,7454,0,1,1,0,0
task308,outputs\onnx\task308.onnx,outputs\candidates\dtype_ablation_20260609\task308_InitializerDtypeCompression.onnx,978,978,0,6118,6118,0,17,17,0,0
task309,outputs\onnx\task309.onnx,outputs\candidates\dtype_ablation_20260609\task309_InitializerDtypeCompression.onnx,90,90,0,217,217,0,1,1,0,0
task310,outputs\onnx\task310.onnx,outputs\candidates\dtype_ablation_20260609\task310_InitializerDtypeCompression.onnx,2553,1977,-576,5449,5083,-366,18,18,3,192
task311,outputs\onnx\task311.onnx,outputs\candidates\dtype_ablation_20260609\task311_InitializerDtypeCompression.onnx,270,270,0,479,479,0,1,1,0,0
task312,outputs\onnx\task312.onnx,outputs\candidates\dtype_ablation_20260609\task312_InitializerDtypeCompression.onnx,171,171,0,1202,1202,0,9,9,0,0
task313,outputs\onnx\task313.onnx,outputs\candidates\dtype_ablation_20260609\task313_InitializerDtypeCompression.onnx,40857,9357,-31500,39887,8827,-31060,12,12,5,4500
task314,outputs\onnx\task314.onnx,outputs\candidates\dtype_ablation_20260609\task314_InitializerDtypeCompression.onnx,1558,1558,0,28414,28414,0,83,83,0,0
task315,outputs\onnx\task315.onnx,outputs\candidates\dtype_ablation_20260609\task315_InitializerDtypeCompression.onnx,551,308,-243,1520,1347,-173,10,10,1,81
task316,outputs\onnx\task316.onnx,outputs\candidates\dtype_ablation_20260609\task316_InitializerDtypeCompression.onnx,276,276,0,5537,5537,0,15,15,0,0
task317,outputs\onnx\task317.onnx,outputs\candidates\dtype_ablation_20260609\task317_InitializerDtypeCompression.onnx,4500,4500,0,3798,3798,0,1,1,0,0
task318,outputs\onnx\task318.onnx,outputs\candidates\dtype_ablation_20260609\task318_InitializerDtypeCompression.onnx,322,322,0,1569,1569,0,8,8,0,0
task319,outputs\onnx\task319.onnx,outputs\candidates\dtype_ablation_20260609\task319_InitializerDtypeCompression.onnx,26814,26514,-300,169127,168894,-233,714,714,1,100
task320,outputs\onnx\task320.onnx,outputs\candidates\dtype_ablation_20260609\task320_InitializerDtypeCompression.onnx,565,565,0,2183,2183,0,11,11,0,0
task321,outputs\onnx\task321.onnx,outputs\candidates\dtype_ablation_20260609\task321_InitializerDtypeCompression.onnx,731,431,-300,2449,2216,-233,11,11,1,100
task322,outputs\onnx\task322.onnx,outputs\candidates\dtype_ablation_20260609\task322_InitializerDtypeCompression.onnx,185,185,0,1194,1194,0,6,6,0,0
task323,outputs\onnx\task323.onnx,outputs\candidates\dtype_ablation_20260609\task323_InitializerDtypeCompression.onnx,1199,692,-507,8184,7737,-447,17,17,1,169
task324,outputs\onnx\task324.onnx,outputs\candidates\dtype_ablation_20260609\task324_InitializerDtypeCompression.onnx,18223,7780,-10443,26906,16541,-10365,36,36,1,3481
task325,outputs\onnx\task325.onnx,outputs\candidates\dtype_ablation_20260609\task325_InitializerDtypeCompression.onnx,3996,3996,0,5072,5072,0,22,22,0,0
task326,outputs\onnx\task326.onnx,outputs\candidates\dtype_ablation_20260609\task326_InitializerDtypeCompression.onnx,54,54,0,388,388,0,3,3,0,0
task327,outputs\onnx\task327.onnx,outputs\candidates\dtype_ablation_20260609\task327_InitializerDtypeCompression.onnx,200,200,0,2235,2235,0,9,9,0,0
task328,outputs\onnx\task328.onnx,outputs\candidates\dtype_ablation_20260609\task328_InitializerDtypeCompression.onnx,9300,8328,-972,16269,15486,-783,27,27,3,972
task329,outputs\onnx\task329.onnx,outputs\candidates\dtype_ablation_20260609\task329_InitializerDtypeCompression.onnx,326,326,0,2361,2361,0,10,10,0,0
task330,outputs\onnx\task330.onnx,outputs\candidates\dtype_ablation_20260609\task330_InitializerDtypeCompression.onnx,6049,6049,0,43441,43441,0,136,136,0,0
task331,outputs\onnx\task331.onnx,outputs\candidates\dtype_ablation_20260609\task331_InitializerDtypeCompression.onnx,4550,4550,0,3836,3836,0,2,2,0,0
task332,outputs\onnx\task332.onnx,outputs\candidates\dtype_ablation_20260609\task332_InitializerDtypeCompression.onnx,1398,1398,0,4135,4135,0,15,15,0,0
task333,outputs\onnx\task333.onnx,outputs\candidates\dtype_ablation_20260609\task333_InitializerDtypeCompression.onnx,393,393,0,4379,4379,0,19,19,0,0
task334,outputs\onnx\task334.onnx,outputs\candidates\dtype_ablation_20260609\task334_InitializerDtypeCompression.onnx,1553,743,-810,2063,1340,-723,8,8,1,270
task335,outputs\onnx\task335.onnx,outputs\candidates\dtype_ablation_20260609\task335_InitializerDtypeCompression.onnx,694,694,0,3914,3914,0,17,17,0,0
task336,outputs\onnx\task336.onnx,outputs\candidates\dtype_ablation_20260609\task336_InitializerDtypeCompression.onnx,505,505,0,5276,5276,0,12,12,0,0
task337,outputs\onnx\task337.onnx,outputs\candidates\dtype_ablation_20260609\task337_InitializerDtypeCompression.onnx,90,90,0,159,159,0,1,1,0,0
task338,outputs\onnx\task338.onnx,outputs\candidates\dtype_ablation_20260609\task338_InitializerDtypeCompression.onnx,3335,2710,-625,5846,5314,-532,9,9,1,625
task339,outputs\onnx\task339.onnx,outputs\candidates\dtype_ablation_20260609\task339_InitializerDtypeCompression.onnx,636,393,-243,2038,1874,-164,11,11,1,81
task340,outputs\onnx\task340.onnx,outputs\candidates\dtype_ablation_20260609\task340_InitializerDtypeCompression.onnx,949,949,0,6593,6593,0,26,26,0,0
task341,outputs\onnx\task341.onnx,outputs\candidates\dtype_ablation_20260609\task341_InitializerDtypeCompression.onnx,2549,2549,0,11979,11979,0,52,52,0,0
task342,outputs\onnx\task342.onnx,outputs\candidates\dtype_ablation_20260609\task342_InitializerDtypeCompression.onnx,1258,1258,0,4815,4815,0,16,16,0,0
task343,outputs\onnx\task343.onnx,outputs\candidates\dtype_ablation_20260609\task343_InitializerDtypeCompression.onnx,2597,2597,0,7569,7569,0,16,16,0,0
task344,outputs\onnx\task344.onnx,outputs\candidates\dtype_ablation_20260609\task344_InitializerDtypeCompression.onnx,12550,12550,0,10236,10236,0,2,2,0,0
task345,outputs\onnx\task345.onnx,outputs\candidates\dtype_ablation_20260609\task345_InitializerDtypeCompression.onnx,4741,2041,-2700,6721,4096,-2625,13,13,1,900
task346,outputs\onnx\task346.onnx,outputs\candidates\dtype_ablation_20260609\task346_InitializerDtypeCompression.onnx,641,398,-243,2236,2087,-149,12,12,1,81
task347,outputs\onnx\task347.onnx,outputs\candidates\dtype_ablation_20260609\task347_InitializerDtypeCompression.onnx,339,339,0,1369,1369,0,10,10,0,0
task348,outputs\onnx\task348.onnx,outputs\candidates\dtype_ablation_20260609\task348_InitializerDtypeCompression.onnx,463,463,0,3000,3000,0,12,12,0,0
task349,outputs\onnx\task349.onnx,outputs\candidates\dtype_ablation_20260609\task349_InitializerDtypeCompression.onnx,258,258,0,8755,8755,0,22,22,0,0
task350,outputs\onnx\task350.onnx,outputs\candidates\dtype_ablation_20260609\task350_InitializerDtypeCompression.onnx,1473,1473,0,2670,2670,0,9,9,0,0
task351,outputs\onnx\task351.onnx,outputs\candidates\dtype_ablation_20260609\task351_InitializerDtypeCompression.onnx,354,354,0,3049,3049,0,7,7,0,0
task352,outputs\onnx\task352.onnx,outputs\candidates\dtype_ablation_20260609\task352_InitializerDtypeCompression.onnx,234,234,0,1398,1398,0,7,7,0,0
task353,outputs\onnx\task353.onnx,outputs\candidates\dtype_ablation_20260609\task353_InitializerDtypeCompression.onnx,745,745,0,3244,3244,0,13,13,0,0
task354,outputs\onnx\task354.onnx,outputs\candidates\dtype_ablation_20260609\task354_InitializerDtypeCompression.onnx,1335,1035,-300,4335,4096,-239,24,24,1,100
task355,outputs\onnx\task355.onnx,outputs\candidates\dtype_ablation_20260609\task355_InitializerDtypeCompression.onnx,1057,1057,0,4506,4506,0,12,12,0,0
task356,outputs\onnx\task356.onnx,outputs\candidates\dtype_ablation_20260609\task356_InitializerDtypeCompression.onnx,394,394,0,2344,2344,0,10,10,0,0
task357,outputs\onnx\task357.onnx,outputs\candidates\dtype_ablation_20260609\task357_InitializerDtypeCompression.onnx,270,270,0,2328,2328,0,11,11,0,0
task358,outputs\onnx\task358.onnx,outputs\candidates\dtype_ablation_20260609\task358_InitializerDtypeCompression.onnx,1446,1446,0,10944,10944,0,37,37,0,0
task359,outputs\onnx\task359.onnx,outputs\candidates\dtype_ablation_20260609\task359_InitializerDtypeCompression.onnx,840,840,0,3909,3909,0,9,9,0,0
task360,outputs\onnx\task360.onnx,outputs\candidates\dtype_ablation_20260609\task360_InitializerDtypeCompression.onnx,320,320,0,1399,1399,0,15,15,0,0
task361,outputs\onnx\task361.onnx,outputs\candidates\dtype_ablation_20260609\task361_InitializerDtypeCompression.onnx,2337,937,-1400,6930,5676,-1254,20,20,2,200
task362,outputs\onnx\task362.onnx,outputs\candidates\dtype_ablation_20260609\task362_InitializerDtypeCompression.onnx,804,504,-300,2814,2572,-242,11,11,1,100
task363,outputs\onnx\task363.onnx,outputs\candidates\dtype_ablation_20260609\task363_InitializerDtypeCompression.onnx,193391,79091,-114300,169035,54945,-114090,50,50,3,38100
task364,outputs\onnx\task364.onnx,outputs\candidates\dtype_ablation_20260609\task364_InitializerDtypeCompression.onnx,1095,1095,0,7050,7050,0,36,36,0,0
task365,outputs\onnx\task365.onnx,outputs\candidates\dtype_ablation_20260609\task365_InitializerDtypeCompression.onnx,627,627,0,17605,17605,0,12,12,0,0
task366,outputs\onnx\task366.onnx,outputs\candidates\dtype_ablation_20260609\task366_InitializerDtypeCompression.onnx,260211,112581,-147630,1256725,1110175,-146550,79,79,9,48310
task367,outputs\onnx\task367.onnx,outputs\candidates\dtype_ablation_20260609\task367_InitializerDtypeCompression.onnx,219324,106254,-113070,227696,119927,-107769,322,322,56,37690
task368,outputs\onnx\task368.onnx,outputs\candidates\dtype_ablation_20260609\task368_InitializerDtypeCompression.onnx,511,511,0,14770,14770,0,32,32,0,0
task369,outputs\onnx\task369.onnx,outputs\candidates\dtype_ablation_20260609\task369_InitializerDtypeCompression.onnx,2717,1217,-1500,4692,3350,-1342,11,11,2,500
task370,outputs\onnx\task370.onnx,outputs\candidates\dtype_ablation_20260609\task370_InitializerDtypeCompression.onnx,5221,5221,0,37248,37248,0,134,134,0,0
task371,outputs\onnx\task371.onnx,outputs\candidates\dtype_ablation_20260609\task371_InitializerDtypeCompression.onnx,557,557,0,2475,2475,0,14,14,0,0
task372,outputs\onnx\task372.onnx,outputs\candidates\dtype_ablation_20260609\task372_InitializerDtypeCompression.onnx,270,270,0,1328,1328,0,9,9,0,0
task373,outputs\onnx\task373.onnx,outputs\candidates\dtype_ablation_20260609\task373_InitializerDtypeCompression.onnx,239,239,0,988,988,0,8,8,0,0
task374,outputs\onnx\task374.onnx,outputs\candidates\dtype_ablation_20260609\task374_InitializerDtypeCompression.onnx,2091,1491,-600,16450,16016,-434,27,27,2,600
task375,outputs\onnx\task375.onnx,outputs\candidates\dtype_ablation_20260609\task375_InitializerDtypeCompression.onnx,367,367,0,2214,2214,0,12,12,0,0
task376,outputs\onnx\task376.onnx,outputs\candidates\dtype_ablation_20260609\task376_InitializerDtypeCompression.onnx,343,343,0,2344,2344,0,7,7,0,0
task377,outputs\onnx\task377.onnx,outputs\candidates\dtype_ablation_20260609\task377_InitializerDtypeCompression.onnx,7019,4994,-2025,19220,17510,-1710,17,17,5,2025
task378,outputs\onnx\task378.onnx,outputs\candidates\dtype_ablation_20260609\task378_InitializerDtypeCompression.onnx,2524,2092,-432,10496,10127,-369,17,17,1,144
task379,outputs\onnx\task379.onnx,outputs\candidates\dtype_ablation_20260609\task379_InitializerDtypeCompression.onnx,5364,3764,-1600,9996,8648,-1348,29,29,4,1600
task380,outputs\onnx\task380.onnx,outputs\candidates\dtype_ablation_20260609\task380_InitializerDtypeCompression.onnx,149,149,0,531,531,0,6,6,0,0
task381,outputs\onnx\task381.onnx,outputs\candidates\dtype_ablation_20260609\task381_InitializerDtypeCompression.onnx,4709,2009,-2700,5721,3078,-2643,9,9,1,900
task382,outputs\onnx\task382.onnx,outputs\candidates\dtype_ablation_20260609\task382_InitializerDtypeCompression.onnx,54738,22338,-32400,65997,34347,-31650,27,27,12,10800
task383,outputs\onnx\task383.onnx,outputs\candidates\dtype_ablation_20260609\task383_InitializerDtypeCompression.onnx,2829,1929,-900,6805,5965,-840,11,11,1,900
task384,outputs\onnx\task384.onnx,outputs\candidates\dtype_ablation_20260609\task384_InitializerDtypeCompression.onnx,1215,1215,0,4542,4542,0,13,13,0,0
task385,outputs\onnx\task385.onnx,outputs\candidates\dtype_ablation_20260609\task385_InitializerDtypeCompression.onnx,270,270,0,175,175,0,1,1,0,0
task386,outputs\onnx\task386.onnx,outputs\candidates\dtype_ablation_20260609\task386_InitializerDtypeCompression.onnx,339,339,0,1471,1471,0,10,10,0,0
task387,outputs\onnx\task387.onnx,outputs\candidates\dtype_ablation_20260609\task387_InitializerDtypeCompression.onnx,12790,12790,0,82676,82676,0,249,249,0,0
task388,outputs\onnx\task388.onnx,outputs\candidates\dtype_ablation_20260609\task388_InitializerDtypeCompression.onnx,1515,1515,0,6368,6368,0,30,30,0,0
task389,outputs\onnx\task389.onnx,outputs\candidates\dtype_ablation_20260609\task389_InitializerDtypeCompression.onnx,250,250,0,1421,1421,0,9,9,0,0
task390,outputs\onnx\task390.onnx,outputs\candidates\dtype_ablation_20260609\task390_InitializerDtypeCompression.onnx,5249,2549,-2700,7851,5232,-2619,11,11,1,900
task391,outputs\onnx\task391.onnx,outputs\candidates\dtype_ablation_20260609\task391_InitializerDtypeCompression.onnx,245,245,0,2841,2841,0,12,12,0,0
task392,outputs\onnx\task392.onnx,outputs\candidates\dtype_ablation_20260609\task392_InitializerDtypeCompression.onnx,11286,6186,-5100,13503,8583,-4920,35,35,3,1700
task393,outputs\onnx\task393.onnx,outputs\candidates\dtype_ablation_20260609\task393_InitializerDtypeCompression.onnx,245,245,0,2433,2433,0,12,12,0,0
task394,outputs\onnx\task394.onnx,outputs\candidates\dtype_ablation_20260609\task394_InitializerDtypeCompression.onnx,311,311,0,5312,5312,0,14,14,0,0
task395,outputs\onnx\task395.onnx,outputs\candidates\dtype_ablation_20260609\task395_InitializerDtypeCompression.onnx,339,339,0,1479,1479,0,10,10,0,0
task396,outputs\onnx\task396.onnx,outputs\candidates\dtype_ablation_20260609\task396_InitializerDtypeCompression.onnx,110040,38512,-71528,128748,61751,-66997,160,160,53,10328
task397,outputs\onnx\task397.onnx,outputs\candidates\dtype_ablation_20260609\task397_InitializerDtypeCompression.onnx,1099,799,-300,7101,6878,-223,30,30,1,100
task398,outputs\onnx\task398.onnx,outputs\candidates\dtype_ablation_20260609\task398_InitializerDtypeCompression.onnx,6714,2339,-4375,8682,4370,-4312,26,26,1,625
task399,outputs\onnx\task399.onnx,outputs\candidates\dtype_ablation_20260609\task399_InitializerDtypeCompression.onnx,2144,2144,0,1907,1907,0,4,4,0,0
task400,outputs\onnx\task400.onnx,outputs\candidates\dtype_ablation_20260609\task400_InitializerDtypeCompression.onnx,345,345,0,3021,3021,0,6,6,0,0
