task_id,split,case_index,passed,input_shape,output_shape,board_bbox,num_holes,num_templates,failure_reason
task233,train,0,True,24x19,17x9,"(1, 2, 17, 10)",5,5,
task233,train,1,True,20x10,8x8,"(1, 1, 8, 8)",3,2,
task233,train,2,True,16x12,9x9,"(6, 1, 14, 9)",1,1,
task233,test,0,True,19x15,8x12,"(1, 2, 8, 13)",4,4,
task233,arc-gen,0,True,27x29,18x20,"(8, 8, 25, 27)",7,5,
task233,arc-gen,1,True,13x25,8x16,"(4, 1, 11, 16)",2,1,
task233,arc-gen,2,True,29x25,19x16,"(9, 2, 27, 17)",5,3,
task233,arc-gen,3,True,27x25,19x15,"(7, 8, 25, 22)",4,4,
task233,arc-gen,4,True,21x23,12x16,"(8, 3, 19, 18)",5,3,
task233,arc-gen,5,True,16x19,9x12,"(2, 2, 10, 13)",2,2,
task233,arc-gen,6,True,20x20,10x10,"(4, 4, 13, 13)",1,1,
task233,arc-gen,7,True,29x28,19x20,"(8, 4, 26, 23)",5,4,
task233,arc-gen,8,True,28x17,18x8,"(6, 7, 23, 14)",1,1,
task233,arc-gen,9,True,14x20,10x10,"(1, 7, 10, 16)",1,1,
task233,arc-gen,10,True,27x19,19x10,"(6, 1, 24, 10)",4,3,
task233,arc-gen,11,True,17x19,9x12,"(5, 1, 13, 12)",1,1,
task233,arc-gen,12,True,26x27,19x17,"(6, 1, 24, 17)",6,4,
task233,arc-gen,13,True,24x19,15x10,"(7, 4, 21, 13)",1,1,
task233,arc-gen,14,True,25x20,17x13,"(7, 2, 23, 14)",6,3,
task233,arc-gen,15,True,30x30,20x20,"(4, 3, 23, 22)",7,4,
task233,arc-gen,16,True,21x24,13x17,"(2, 4, 14, 20)",2,2,
task233,arc-gen,17,True,23x25,13x17,"(1, 7, 13, 23)",7,5,
task233,arc-gen,18,True,27x23,17x14,"(2, 7, 18, 20)",5,2,
task233,arc-gen,19,True,20x26,11x18,"(2, 3, 12, 20)",4,3,
task233,arc-gen,20,True,25x28,15x18,"(1, 8, 15, 25)",8,5,
task233,arc-gen,21,True,30x28,20x18,"(9, 2, 28, 19)",6,5,
task233,arc-gen,22,True,23x24,16x15,"(4, 5, 19, 19)",3,2,
task233,arc-gen,23,True,21x23,14x15,"(5, 7, 18, 21)",3,2,
task233,arc-gen,24,True,28x19,19x11,"(1, 4, 19, 14)",4,2,
task233,arc-gen,25,True,23x21,18x11,"(3, 9, 20, 19)",10,5,
task233,arc-gen,26,True,27x30,18x20,"(1, 2, 18, 21)",6,4,
task233,arc-gen,27,True,19x26,11x19,"(7, 2, 17, 20)",2,2,
task233,arc-gen,28,True,19x26,11x17,"(7, 1, 17, 17)",5,5,
task233,arc-gen,29,True,24x19,17x9,"(2, 1, 18, 9)",6,3,
task233,arc-gen,30,True,23x19,17x12,"(1, 1, 17, 12)",4,3,
task233,arc-gen,31,True,28x25,20x17,"(2, 3, 21, 19)",6,3,
task233,arc-gen,32,True,23x29,13x19,"(3, 8, 15, 26)",9,5,
task233,arc-gen,33,True,15x16,10x10,"(4, 5, 13, 14)",1,1,
task233,arc-gen,34,True,24x24,16x15,"(3, 1, 18, 15)",7,4,
task233,arc-gen,35,True,18x18,13x12,"(1, 1, 13, 12)",1,1,
task233,arc-gen,36,True,26x26,18x16,"(7, 7, 24, 22)",4,3,
task233,arc-gen,37,True,20x25,15x16,"(4, 1, 18, 16)",4,2,
task233,arc-gen,38,True,21x21,11x15,"(9, 5, 19, 19)",4,3,
task233,arc-gen,39,True,16x25,10x16,"(1, 2, 10, 17)",8,5,
task233,arc-gen,40,True,23x26,14x18,"(4, 7, 17, 24)",2,2,
task233,arc-gen,41,True,26x25,19x16,"(6, 1, 24, 16)",3,3,
task233,arc-gen,42,True,17x14,11x9,"(5, 1, 15, 9)",1,1,
task233,arc-gen,43,True,17x29,8x19,"(2, 8, 9, 26)",8,4,
task233,arc-gen,44,True,21x23,14x14,"(2, 7, 15, 20)",1,1,
task233,arc-gen,45,True,19x13,10x11,"(1, 1, 10, 11)",2,1,
task233,arc-gen,46,True,29x27,20x17,"(6, 4, 25, 20)",3,3,
task233,arc-gen,47,True,19x25,9x17,"(5, 6, 13, 22)",4,2,
task233,arc-gen,48,True,27x25,18x15,"(2, 9, 19, 23)",6,5,
task233,arc-gen,49,True,28x23,20x15,"(1, 1, 20, 15)",4,4,
task233,arc-gen,50,True,20x25,10x15,"(8, 7, 17, 21)",4,2,
task233,arc-gen,51,True,25x30,16x20,"(4, 6, 19, 25)",6,3,
task233,arc-gen,52,True,19x29,9x19,"(1, 2, 9, 20)",6,4,
task233,arc-gen,53,True,21x23,12x14,"(6, 8, 17, 21)",5,4,
task233,arc-gen,54,True,18x19,10x13,"(2, 3, 11, 15)",1,1,
task233,arc-gen,55,True,13x19,11x10,"(1, 1, 11, 10)",3,2,
task233,arc-gen,56,True,24x22,15x16,"(5, 2, 19, 17)",5,4,
task233,arc-gen,57,True,29x25,19x15,"(1, 4, 19, 18)",4,3,
task233,arc-gen,58,True,26x22,18x12,"(5, 2, 22, 13)",4,3,
task233,arc-gen,59,True,27x25,18x15,"(2, 2, 19, 16)",4,4,
task233,arc-gen,60,True,23x20,19x11,"(1, 8, 19, 18)",3,3,
task233,arc-gen,61,True,25x28,17x19,"(4, 8, 20, 26)",7,4,
task233,arc-gen,62,True,24x23,20x13,"(1, 9, 20, 21)",5,1,
task233,arc-gen,63,True,15x25,8x15,"(6, 3, 13, 17)",3,3,
task233,arc-gen,64,True,15x21,11x13,"(3, 7, 13, 19)",1,1,
task233,arc-gen,65,True,20x17,16x10,"(1, 4, 16, 13)",1,1,
task233,arc-gen,66,True,21x19,15x10,"(1, 8, 15, 17)",2,2,
task233,arc-gen,67,True,22x17,12x13,"(9, 1, 20, 13)",5,3,
task233,arc-gen,68,True,26x21,16x16,"(9, 1, 24, 16)",8,5,
task233,arc-gen,69,True,20x23,12x17,"(1, 1, 12, 17)",2,2,
task233,arc-gen,70,True,27x18,20x9,"(3, 1, 22, 9)",6,4,
task233,arc-gen,71,True,30x29,20x19,"(7, 2, 26, 20)",9,5,
task233,arc-gen,72,True,28x28,19x18,"(6, 8, 24, 25)",5,4,
task233,arc-gen,73,True,19x25,9x16,"(2, 7, 10, 22)",7,4,
task233,arc-gen,74,True,19x21,10x15,"(1, 5, 10, 19)",5,3,
task233,arc-gen,75,True,21x26,11x16,"(2, 9, 12, 24)",4,2,
task233,arc-gen,76,True,18x24,12x16,"(2, 2, 13, 17)",1,1,
task233,arc-gen,77,True,18x28,9x18,"(6, 1, 14, 18)",1,1,
task233,arc-gen,78,True,23x20,16x11,"(6, 7, 21, 17)",3,2,
task233,arc-gen,79,True,30x24,20x17,"(5, 3, 24, 19)",5,4,
task233,arc-gen,80,True,24x26,17x16,"(1, 1, 17, 16)",6,4,
task233,arc-gen,81,True,18x23,13x13,"(1, 8, 13, 20)",1,1,
task233,arc-gen,82,True,28x27,19x17,"(7, 2, 25, 18)",5,4,
task233,arc-gen,83,True,23x22,13x12,"(2, 2, 14, 13)",7,5,
task233,arc-gen,84,True,24x28,14x19,"(8, 6, 21, 24)",9,5,
task233,arc-gen,85,True,23x25,13x15,"(1, 2, 13, 16)",8,5,
task233,arc-gen,86,True,30x21,20x14,"(9, 2, 28, 15)",6,5,
task233,arc-gen,87,True,26x26,16x19,"(8, 5, 23, 23)",9,4,
task233,arc-gen,88,True,29x28,20x19,"(1, 4, 20, 22)",7,5,
task233,arc-gen,89,True,30x26,20x18,"(9, 2, 28, 19)",7,4,
task233,arc-gen,90,True,20x23,11x14,"(1, 6, 11, 19)",6,2,
task233,arc-gen,91,True,27x17,19x10,"(2, 2, 20, 11)",3,2,
task233,arc-gen,92,True,17x26,8x19,"(7, 3, 14, 21)",7,4,
task233,arc-gen,93,True,26x30,16x20,"(6, 7, 21, 26)",7,5,
task233,arc-gen,94,True,27x24,18x17,"(7, 6, 24, 22)",5,4,
task233,arc-gen,95,True,21x18,11x11,"(7, 3, 17, 13)",2,1,
task233,arc-gen,96,True,29x28,19x20,"(4, 7, 22, 26)",4,4,
task233,arc-gen,97,True,24x19,19x11,"(4, 2, 22, 12)",3,1,
task233,arc-gen,98,True,30x24,20x17,"(5, 1, 24, 17)",6,4,
task233,arc-gen,99,True,18x26,11x18,"(6, 4, 16, 21)",5,3,
task233,arc-gen,100,True,24x27,15x18,"(8, 7, 22, 24)",9,5,
task233,arc-gen,101,True,25x23,18x13,"(1, 8, 18, 20)",9,5,
task233,arc-gen,102,True,25x27,19x17,"(1, 2, 19, 18)",7,5,
task233,arc-gen,103,True,24x23,14x13,"(1, 7, 14, 19)",4,3,
task233,arc-gen,104,True,26x27,19x17,"(4, 8, 22, 24)",5,4,
task233,arc-gen,105,True,16x24,8x16,"(1, 2, 8, 17)",3,2,
task233,arc-gen,106,True,24x27,15x17,"(3, 3, 17, 19)",9,5,
task233,arc-gen,107,True,23x30,13x20,"(5, 3, 17, 22)",5,3,
task233,arc-gen,108,True,30x21,20x14,"(7, 1, 26, 14)",5,4,
task233,arc-gen,109,True,28x26,18x18,"(8, 1, 25, 18)",3,2,
task233,arc-gen,110,True,27x30,18x20,"(1, 7, 18, 26)",6,5,
task233,arc-gen,111,True,29x19,19x10,"(3, 4, 21, 13)",2,2,
task233,arc-gen,112,True,17x17,11x8,"(2, 5, 12, 12)",2,1,
task233,arc-gen,113,True,26x24,17x15,"(1, 2, 17, 16)",4,2,
task233,arc-gen,114,True,21x21,16x11,"(2, 7, 17, 17)",1,1,
task233,arc-gen,115,True,19x27,11x17,"(6, 9, 16, 25)",4,3,
task233,arc-gen,116,True,23x30,17x20,"(4, 6, 20, 25)",3,2,
task233,arc-gen,117,True,19x22,10x17,"(2, 4, 11, 20)",4,2,
task233,arc-gen,118,True,23x29,15x19,"(7, 2, 21, 20)",4,3,
task233,arc-gen,119,True,28x24,18x15,"(7, 8, 24, 22)",6,5,
task233,arc-gen,120,True,24x25,14x20,"(2, 2, 15, 21)",3,3,
task233,arc-gen,121,True,15x20,8x18,"(5, 1, 12, 18)",1,1,
task233,arc-gen,122,True,24x21,15x11,"(8, 4, 22, 14)",3,3,
task233,arc-gen,123,True,28x18,19x9,"(8, 7, 26, 15)",5,3,
task233,arc-gen,124,True,29x23,19x16,"(6, 6, 24, 21)",7,5,
task233,arc-gen,125,True,20x21,11x12,"(7, 2, 17, 13)",2,2,
task233,arc-gen,126,True,15x19,8x16,"(1, 1, 8, 16)",1,1,
task233,arc-gen,127,True,18x27,12x19,"(5, 4, 16, 22)",1,1,
task233,arc-gen,128,True,19x27,12x17,"(2, 8, 13, 24)",2,1,
task233,arc-gen,129,True,22x22,16x12,"(4, 5, 19, 16)",5,3,
task233,arc-gen,130,True,17x27,8x18,"(5, 7, 12, 24)",2,2,
task233,arc-gen,131,True,16x27,12x17,"(3, 5, 14, 21)",1,1,
task233,arc-gen,132,True,28x24,19x14,"(4, 1, 22, 14)",9,5,
task233,arc-gen,133,True,26x23,16x14,"(6, 3, 21, 16)",2,1,
task233,arc-gen,134,True,20x27,11x20,"(4, 1, 14, 20)",6,5,
task233,arc-gen,135,True,26x19,19x9,"(5, 8, 23, 16)",7,4,
task233,arc-gen,136,True,24x22,14x12,"(1, 8, 14, 19)",6,3,
task233,arc-gen,137,True,18x23,10x14,"(7, 7, 16, 20)",1,1,
task233,arc-gen,138,True,19x27,11x18,"(1, 3, 11, 20)",1,1,
task233,arc-gen,139,True,23x29,15x19,"(1, 8, 15, 26)",8,5,
task233,arc-gen,140,True,19x26,10x18,"(3, 7, 12, 24)",6,5,
task233,arc-gen,141,True,24x23,17x15,"(2, 7, 18, 21)",5,3,
task233,arc-gen,142,True,24x24,15x15,"(6, 2, 20, 16)",4,3,
task233,arc-gen,143,True,23x30,15x20,"(2, 5, 16, 24)",8,5,
task233,arc-gen,144,True,23x28,13x19,"(2, 4, 14, 22)",2,2,
task233,arc-gen,145,True,29x22,19x12,"(6, 6, 24, 17)",1,1,
task233,arc-gen,146,True,20x17,12x13,"(6, 2, 17, 14)",1,1,
task233,arc-gen,147,True,30x29,20x20,"(5, 5, 24, 24)",6,5,
task233,arc-gen,148,True,28x24,19x17,"(4, 2, 22, 18)",2,2,
task233,arc-gen,149,True,23x24,13x16,"(7, 4, 19, 19)",3,2,
task233,arc-gen,150,True,28x21,18x14,"(1, 3, 18, 16)",2,2,
task233,arc-gen,151,True,14x20,8x16,"(1, 3, 8, 18)",2,1,
task233,arc-gen,152,True,22x22,15x15,"(6, 4, 20, 18)",4,3,
task233,arc-gen,153,True,23x30,16x20,"(5, 1, 20, 20)",6,3,
task233,arc-gen,154,True,18x24,11x15,"(2, 3, 12, 17)",5,4,
task233,arc-gen,155,True,18x24,10x14,"(5, 8, 14, 21)",3,2,
task233,arc-gen,156,True,17x29,8x20,"(7, 6, 14, 25)",1,1,
task233,arc-gen,157,True,22x22,16x14,"(3, 7, 18, 20)",1,1,
task233,arc-gen,158,True,22x24,12x16,"(1, 3, 12, 18)",7,5,
task233,arc-gen,159,True,24x19,14x9,"(1, 6, 14, 14)",2,1,
task233,arc-gen,160,True,26x19,16x11,"(2, 1, 17, 11)",4,3,
task233,arc-gen,161,True,29x30,20x20,"(1, 1, 20, 20)",6,5,
task233,arc-gen,162,True,23x21,17x11,"(1, 1, 17, 11)",1,1,
task233,arc-gen,163,True,18x23,8x16,"(9, 3, 16, 18)",4,2,
task233,arc-gen,164,True,23x16,15x8,"(7, 7, 21, 14)",5,3,
task233,arc-gen,165,True,22x20,14x13,"(4, 5, 17, 17)",5,3,
task233,arc-gen,166,True,21x26,11x20,"(6, 5, 16, 24)",5,5,
task233,arc-gen,167,True,25x24,18x14,"(1, 1, 18, 14)",7,5,
task233,arc-gen,168,True,17x29,10x20,"(6, 7, 15, 26)",7,4,
task233,arc-gen,169,True,29x23,19x13,"(8, 1, 26, 13)",9,5,
task233,arc-gen,170,True,21x23,11x16,"(6, 1, 16, 16)",5,2,
task233,arc-gen,171,True,17x18,10x8,"(2, 2, 11, 9)",1,1,
task233,arc-gen,172,True,21x26,12x17,"(2, 2, 13, 18)",5,3,
task233,arc-gen,173,True,23x25,16x17,"(1, 7, 16, 23)",3,3,
task233,arc-gen,174,True,24x22,14x15,"(9, 5, 22, 19)",5,4,
task233,arc-gen,175,True,17x18,12x9,"(3, 3, 14, 11)",1,1,
task233,arc-gen,176,True,24x16,16x8,"(4, 1, 19, 8)",2,2,
task233,arc-gen,177,True,23x21,13x13,"(7, 5, 19, 17)",8,4,
task233,arc-gen,178,True,17x27,10x17,"(6, 1, 15, 17)",9,5,
task233,arc-gen,179,True,21x24,11x15,"(6, 1, 16, 15)",1,1,
task233,arc-gen,180,True,19x28,9x19,"(4, 6, 12, 24)",1,1,
task233,arc-gen,181,True,22x25,16x16,"(1, 6, 16, 21)",6,3,
task233,arc-gen,182,True,25x24,19x15,"(5, 7, 23, 21)",4,3,
task233,arc-gen,183,True,26x28,16x18,"(1, 9, 16, 26)",9,5,
task233,arc-gen,184,True,23x25,13x20,"(1, 2, 13, 21)",1,1,
task233,arc-gen,185,True,18x18,9x8,"(3, 9, 11, 16)",2,1,
task233,arc-gen,186,True,30x17,20x9,"(1, 6, 20, 14)",3,2,
task233,arc-gen,187,True,17x26,10x17,"(5, 6, 14, 22)",3,3,
task233,arc-gen,188,True,28x25,20x15,"(1, 9, 20, 23)",7,4,
task233,arc-gen,189,True,22x21,12x12,"(6, 1, 17, 12)",4,3,
task233,arc-gen,190,True,19x27,12x17,"(2, 7, 13, 23)",1,1,
task233,arc-gen,191,True,27x25,20x15,"(6, 1, 25, 15)",8,5,
task233,arc-gen,192,True,26x23,20x14,"(1, 1, 20, 14)",4,4,
task233,arc-gen,193,True,18x24,10x18,"(7, 5, 16, 22)",4,2,
task233,arc-gen,194,True,25x26,15x16,"(9, 7, 23, 22)",5,4,
task233,arc-gen,195,True,15x20,9x11,"(1, 2, 9, 12)",4,3,
task233,arc-gen,196,True,24x22,18x12,"(2, 1, 19, 12)",4,3,
task233,arc-gen,197,True,19x20,12x13,"(5, 6, 16, 18)",2,2,
task233,arc-gen,198,True,20x23,10x13,"(2, 3, 11, 15)",1,1,
task233,arc-gen,199,True,21x22,15x12,"(2, 9, 16, 20)",6,3,
task233,arc-gen,200,True,27x28,17x18,"(9, 4, 25, 21)",5,4,
task233,arc-gen,201,True,26x17,16x10,"(4, 1, 19, 10)",3,2,
task233,arc-gen,202,True,30x24,20x14,"(1, 2, 20, 15)",7,5,
task233,arc-gen,203,True,21x23,15x15,"(5, 2, 19, 16)",6,5,
task233,arc-gen,204,True,27x26,17x16,"(7, 6, 23, 21)",6,5,
task233,arc-gen,205,True,26x18,19x8,"(6, 9, 24, 16)",6,2,
task233,arc-gen,206,True,14x23,8x13,"(1, 9, 8, 21)",3,3,
task233,arc-gen,207,True,24x20,18x11,"(1, 8, 18, 18)",6,4,
task233,arc-gen,208,True,26x27,20x17,"(5, 9, 24, 25)",4,4,
task233,arc-gen,209,True,26x29,18x19,"(7, 4, 24, 22)",7,5,
task233,arc-gen,210,True,28x17,18x10,"(6, 6, 23, 15)",4,2,
task233,arc-gen,211,True,29x30,19x20,"(9, 1, 27, 20)",5,4,
task233,arc-gen,212,True,21x28,12x19,"(7, 8, 18, 26)",6,3,
task233,arc-gen,213,True,20x19,11x11,"(3, 5, 13, 15)",1,1,
task233,arc-gen,214,True,27x29,20x19,"(2, 9, 21, 27)",3,2,
task233,arc-gen,215,True,26x23,17x16,"(8, 2, 24, 17)",6,4,
task233,arc-gen,216,True,19x25,9x15,"(4, 4, 12, 18)",5,3,
task233,arc-gen,217,True,24x27,15x17,"(1, 2, 15, 18)",7,4,
task233,arc-gen,218,True,17x28,11x20,"(5, 7, 15, 26)",8,5,
task233,arc-gen,219,True,26x26,18x16,"(1, 7, 18, 22)",4,3,
task233,arc-gen,220,True,19x29,10x19,"(5, 3, 14, 21)",5,4,
task233,arc-gen,221,True,30x20,20x11,"(3, 2, 22, 12)",3,2,
task233,arc-gen,222,True,21x23,15x15,"(1, 1, 15, 15)",4,3,
task233,arc-gen,223,True,28x25,18x15,"(4, 6, 21, 20)",6,4,
task233,arc-gen,224,True,24x26,16x16,"(7, 1, 22, 16)",4,4,
task233,arc-gen,225,True,20x22,12x14,"(6, 7, 17, 20)",3,1,
task233,arc-gen,226,True,27x17,18x10,"(6, 1, 23, 10)",4,4,
task233,arc-gen,227,True,26x19,18x10,"(6, 8, 23, 17)",5,3,
task233,arc-gen,228,True,19x16,10x10,"(3, 5, 12, 14)",1,1,
task233,arc-gen,229,True,23x27,13x20,"(5, 1, 17, 20)",4,4,
task233,arc-gen,230,True,21x29,11x20,"(1, 6, 11, 25)",10,5,
task233,arc-gen,231,True,27x22,18x12,"(5, 2, 22, 13)",7,5,
task233,arc-gen,232,True,27x24,17x15,"(5, 2, 21, 16)",7,4,
task233,arc-gen,233,True,19x24,13x14,"(1, 3, 13, 16)",3,2,
task233,arc-gen,234,True,26x13,18x9,"(4, 1, 21, 9)",6,2,
task233,arc-gen,235,True,26x28,17x19,"(1, 5, 17, 23)",11,5,
task233,arc-gen,236,True,28x26,19x16,"(1, 2, 19, 17)",6,3,
task233,arc-gen,237,True,22x19,12x9,"(4, 8, 15, 16)",4,3,
task233,arc-gen,238,True,25x21,15x11,"(4, 6, 18, 16)",4,2,
task233,arc-gen,239,True,26x18,16x9,"(9, 5, 24, 13)",1,1,
task233,arc-gen,240,True,30x22,20x12,"(1, 7, 20, 18)",8,5,
task233,arc-gen,241,True,28x27,18x19,"(9, 7, 26, 25)",8,5,
task233,arc-gen,242,True,21x26,12x16,"(7, 6, 18, 21)",5,4,
task233,arc-gen,243,True,24x20,16x11,"(6, 2, 21, 12)",9,5,
task233,arc-gen,244,True,27x29,17x20,"(9, 7, 25, 26)",9,5,
task233,arc-gen,245,True,29x20,20x14,"(2, 5, 21, 18)",2,2,
task233,arc-gen,246,True,24x25,14x17,"(9, 3, 22, 19)",7,5,
task233,arc-gen,247,True,25x30,16x20,"(1, 6, 16, 25)",6,5,
task233,arc-gen,248,True,21x24,13x14,"(1, 1, 13, 14)",4,4,
task233,arc-gen,249,True,20x28,13x20,"(6, 7, 18, 26)",8,5,
task233,arc-gen,250,True,25x23,17x14,"(2, 2, 18, 15)",5,3,
task233,arc-gen,251,True,18x27,11x17,"(1, 9, 11, 25)",7,4,
task233,arc-gen,252,True,24x27,14x18,"(4, 7, 17, 24)",6,5,
task233,arc-gen,253,True,23x20,13x12,"(6, 7, 18, 18)",6,4,
task233,arc-gen,254,True,17x28,9x19,"(1, 1, 9, 19)",4,3,
task233,arc-gen,255,True,29x25,19x18,"(8, 6, 26, 23)",7,4,
task233,arc-gen,256,True,30x23,20x16,"(1, 6, 20, 21)",3,3,
task233,arc-gen,257,True,25x25,15x16,"(7, 7, 21, 22)",10,5,
task233,arc-gen,258,True,24x24,18x15,"(5, 8, 22, 22)",7,5,
task233,arc-gen,259,True,27x20,17x10,"(5, 8, 21, 17)",5,4,
task233,arc-gen,260,True,25x28,18x18,"(1, 3, 18, 20)",4,3,
task233,arc-gen,261,True,24x22,15x12,"(8, 1, 22, 12)",8,5,
