task_id,input_shape_relation,output_shape_relation,same_shape,crop,expand,panel,scale,num_colors_in,num_colors_out,color_role_stability,has_frame,has_panel_separator,has_objects,has_lines,has_holes,has_symmetry,has_periodicity,has_translation,has_recolor,has_counting,has_template_copy,current_cost,potential_to_1000,current_model_source,known_online_status,family,family_reason
task001,3x3;3x3;3x3;3x3;3x3,9x9;9x9;9x9;9x9;9x9,False,False,True,True,True,5,5,0.0,False,True,True,True,True,horizontal,False,False,False,False,True,172,0,outputs\onnx\task001.onnx,tried,C,panel_selection_or_algebra
task002,6x6;10x10;10x10;10x10;20x20,6x6;10x10;10x10;10x10;20x20,True,False,False,False,False,2,3,0.5,False,False,True,False,True,rotational,False,True,True,False,True,1965,0.6755,outputs\onnx\task002.onnx,tried,E,hole_fill_or_enclosed_region
task003,6x3;6x3;6x3,9x3;9x3;9x3,False,False,True,True,False,2,2,0.0,False,True,True,True,True,horizontal,False,False,True,False,False,74,0,outputs\onnx\task003.onnx,tried,C,panel_selection_or_algebra
task004,14x9;8x9,14x9;8x9,True,False,False,False,False,4,4,0.0,False,False,True,False,True,none,False,False,False,False,True,3060,1.1184,outputs\onnx\task004.onnx,tried,E,hole_fill_or_enclosed_region
task005,21x21;21x21;21x21,21x21;21x21;21x21,True,False,False,False,False,8,8,0.875,False,False,True,False,True,none,False,True,False,False,True,1044,0.0431,outputs\onnx\task005.onnx,tried,E,hole_fill_or_enclosed_region
task006,3x7;3x7;3x7,3x3;3x3;3x3,False,True,False,True,False,3,2,0.0,False,True,True,False,True,vertical,False,False,True,False,False,339,0,outputs\onnx\task006.onnx,tried,B,bbox_crop_or_object_extraction
task007,7x7;7x7;7x7,7x7;7x7;7x7,True,False,False,False,False,6,5,0.8333,False,False,True,False,False,none,False,True,False,False,True,271,0,outputs\onnx\task007.onnx,tried,H,object_copy_or_marker_paste
task008,14x9;9x10;11x10,14x9;9x10;11x10,True,False,False,False,False,3,3,0.6667,False,False,True,False,False,none,False,False,False,False,True,382,0,outputs\onnx\task008.onnx,tried,H,object_copy_or_marker_paste
task009,20x20;23x23;23x23,20x20;23x23;23x23,True,False,False,True,False,7,7,0.8571,False,True,False,True,True,none,False,True,False,False,True,33147,3.501,outputs\onnx\task009.onnx,tried,C,panel_selection_or_algebra
task010,9x9;9x9,9x9;9x9,True,False,False,True,False,2,5,0.5,False,True,True,True,False,none,False,False,True,False,False,521,0,outputs\onnx\task010.onnx,tried,C,panel_selection_or_algebra
task011,11x11;11x11;11x11;11x11,11x11;11x11;11x11;11x11,True,False,False,True,False,7,6,0.1429,False,True,True,True,True,none,False,True,False,False,True,7065,1.9552,outputs\onnx\task011.onnx,tried,C,panel_selection_or_algebra
task012,12x12;12x12,12x12;12x12,True,False,False,False,False,5,5,0.8,False,False,True,False,False,none,False,True,False,False,True,587,0,outputs\onnx\task012.onnx,tried,H,object_copy_or_marker_paste
task013,10x25;7x23;22x9;24x8,10x25;7x23;22x9;24x8,True,False,False,False,False,6,6,0.8333,False,False,True,True,False,none,False,True,False,False,False,6795,1.9162,outputs\onnx\task013.onnx,tried,D,line_completion_or_projection
task014,21x21;18x19;19x17,10x10;7x9;9x6,False,True,False,False,False,6,4,0.0,False,False,True,True,True,none,False,False,False,False,True,0,0,outputs\onnx\task014.onnx,tried,B,bbox_crop_or_object_extraction
task015,9x9;9x9;9x9,9x9;9x9;9x9,True,False,False,False,False,5,7,0.8,False,False,True,False,False,none,False,True,True,False,False,4500,1.5041,outputs\onnx\task015.onnx,tried,A,same_shape_local_mask_or_recolor
task016,3x3;3x3;3x3;3x3,3x3;3x3;3x3;3x3,True,False,False,True,False,8,8,1.0,False,True,False,True,False,vertical,False,False,False,False,False,90,0,outputs\onnx\task016.onnx,tried,C,panel_selection_or_algebra
task017,21x21;21x21;21x21,21x21;21x21;21x21,True,False,False,False,False,8,7,0.875,False,False,False,False,True,none,False,True,False,False,True,2419,0.8834,outputs\onnx\task017.onnx,tried,E,hole_fill_or_enclosed_region
task018,14x18;14x15;16x14,14x18;14x15;16x14,True,False,False,False,False,6,6,0.1667,False,False,True,False,False,none,False,True,False,False,True,3315,1.1985,outputs\onnx\task018.onnx,tried,H,object_copy_or_marker_paste
task019,2x4;3x4;5x3;4x4,4x8;6x8;10x6;8x8,False,False,True,False,True,5,6,0.0,False,False,True,True,True,rotational,False,False,True,False,False,16326,2.7928,outputs\onnx\task019.onnx,tried,I,color_role_remapping
task020,10x10;10x10;10x10,10x10;10x10;10x10,True,False,False,False,False,6,6,0.8333,False,False,True,False,True,none,False,True,False,False,True,2406,0.878,outputs\onnx\task020.onnx,tried,E,hole_fill_or_enclosed_region
task021,15x15;11x11;27x27,2x4;3x2;6x5,False,True,False,True,False,4,2,0.0,False,True,False,True,False,none,False,False,False,False,True,16652,2.8125,outputs\onnx\task021.onnx,tried,C,panel_selection_or_algebra
task022,11x11;11x11;11x11,3x3;3x3;3x3,False,True,False,False,False,9,9,0.0,False,False,True,True,False,none,False,False,False,False,False,531,0,outputs\onnx\task022.onnx,tried,B,bbox_crop_or_object_extraction
task023,9x11;8x10;8x9,9x11;8x10;8x9,True,False,False,False,False,2,3,0.5,False,False,True,False,True,none,False,False,True,False,False,116,0,outputs\onnx\task023.onnx,tried,E,hole_fill_or_enclosed_region
task024,9x9;10x8;10x11,9x9;10x8;10x11,True,False,False,False,False,4,4,0.75,False,False,True,True,True,none,False,True,False,False,False,765,0,outputs\onnx\task024.onnx,tried,D,line_completion_or_projection
task025,18x19;15x14;15x16,18x19;15x14;15x16,True,False,False,True,False,6,6,0.0,False,True,True,True,False,none,False,True,False,False,True,839,0,outputs\onnx\task025.onnx,tried,C,panel_selection_or_algebra
task026,5x7;5x7;5x7;5x7;5x7,5x3;5x3;5x3;5x3;5x3,False,True,False,True,False,3,2,0.0,False,True,True,False,True,none,False,False,True,False,False,312,0,outputs\onnx\task026.onnx,tried,B,bbox_crop_or_object_extraction
task027,10x10;10x10;10x10,10x10;10x10;10x10,True,False,False,False,False,2,3,0.5,False,False,False,False,True,none,False,True,True,False,True,36154,3.5878,outputs\onnx\task027.onnx,tried,E,hole_fill_or_enclosed_region
task028,10x10;10x10,10x10;10x10,True,False,False,False,False,5,5,0.8,False,False,True,True,True,none,False,True,False,False,False,63050,4.1439,outputs\onnx\task028.onnx,tried,D,line_completion_or_projection
task029,23x21;13x16;17x18,6x8;5x3;8x10,False,True,False,False,False,9,8,0.0,False,False,True,False,True,none,False,False,False,False,True,978,0,outputs\onnx\task029.onnx,tried,B,bbox_crop_or_object_extraction
task030,5x10;10x10;5x10,5x10;10x10;5x10,True,False,False,False,False,4,4,0.25,False,False,True,False,False,none,False,False,False,False,True,5171,1.6431,outputs\onnx\task030.onnx,tried,H,object_copy_or_marker_paste
task031,10x12;11x12;12x12,4x4;5x3;3x5,False,True,False,False,False,4,4,0.0,False,False,False,True,False,none,False,False,False,False,True,470,0,outputs\onnx\task031.onnx,tried,K,template_matching_or_finite_pattern
task032,4x4;6x6;5x5,4x4;6x6;5x5,True,False,False,False,False,9,9,0.4444,False,False,True,False,False,none,False,False,False,False,True,409,0,outputs\onnx\task032.onnx,tried,H,object_copy_or_marker_paste
task033,17x17;17x17;17x17,17x17;17x17;17x17,True,False,False,True,False,5,5,0.8,False,True,True,True,True,none,False,True,False,False,True,369,0,outputs\onnx\task033.onnx,tried,C,panel_selection_or_algebra
task034,9x9;9x9;9x9;9x9,9x9;9x9;9x9;9x9,True,False,False,False,False,6,5,0.6667,False,False,False,False,False,none,False,True,False,False,True,7701,2.0414,outputs\onnx\task034.onnx,tried,K,template_matching_or_finite_pattern
task035,10x10;10x10;10x10,10x10;10x10;10x10,True,False,False,False,False,9,9,0.8889,False,False,True,False,False,none,False,False,False,False,True,1389,0.3286,outputs\onnx\task035.onnx,tried,H,object_copy_or_marker_paste
task036,30x30;30x30,5x3;3x3,False,True,False,False,False,6,3,0.0,False,False,True,True,True,none,False,False,False,False,False,1299,0.2616,outputs\onnx\task036.onnx,tried,B,bbox_crop_or_object_extraction
task037,10x10;10x10;10x10,10x10;10x10;10x10,True,False,False,False,False,8,8,0.875,False,False,True,False,False,none,False,True,False,False,True,25086,3.2223,outputs\onnx\task037.onnx,tried,H,object_copy_or_marker_paste
task038,9x9;9x9;9x9,1x5;1x5;1x5,False,True,False,False,False,3,2,0.0,False,False,True,True,False,none,False,False,False,False,False,493,0,outputs\onnx\task038.onnx,tried,B,bbox_crop_or_object_extraction
task039,10x10;10x10,3x3;3x3,False,True,False,False,False,9,9,0.0,False,False,True,False,False,both,False,False,False,False,False,248,0,outputs\onnx\task039.onnx,tried,B,bbox_crop_or_object_extraction
task040,10x10;10x10;10x10,10x10;10x10;10x10,True,False,False,False,False,8,7,0.875,False,False,True,True,False,none,False,False,False,False,True,370,0,outputs\onnx\task040.onnx,tried,D,line_completion_or_projection
task041,10x10;10x10;10x10,10x10;10x10;10x10,True,False,False,False,False,6,6,0.8333,False,False,True,False,False,horizontal,False,True,False,False,True,243,0,outputs\onnx\task041.onnx,tried,F,symmetry_or_mirror_completion
task042,10x10;10x10;10x10,10x10;10x10;10x10,True,False,False,False,False,2,3,0.5,False,False,True,False,False,none,False,True,True,False,True,888,0,outputs\onnx\task042.onnx,tried,H,object_copy_or_marker_paste
task043,10x10;10x10;10x10,10x10;10x10;10x10,True,False,False,False,False,2,3,0.5,False,False,True,False,False,none,False,True,True,False,True,777,0,outputs\onnx\task043.onnx,tried,H,object_copy_or_marker_paste
task044,10x10;10x10;10x10,10x10;10x10;10x10,True,False,False,False,False,9,9,0.7778,False,False,True,False,True,none,False,False,False,False,True,6291,1.8391,outputs\onnx\task044.onnx,tried,E,hole_fill_or_enclosed_region
task045,10x10;10x10;10x10,10x10;10x10;10x10,True,False,False,False,False,9,9,0.8889,False,False,True,True,False,none,False,True,False,False,False,244,0,outputs\onnx\task045.onnx,tried,D,line_completion_or_projection
task046,3x9;3x11;3x11;3x11,3x7;3x9;3x9;3x8,False,True,False,False,False,7,6,0.0,False,False,True,False,False,none,False,False,False,False,False,4446,1.492,outputs\onnx\task046.onnx,tried,B,bbox_crop_or_object_extraction
task047,9x9;9x9,9x9;9x9,True,False,False,False,False,3,4,0.6667,False,False,True,False,True,none,False,True,True,False,False,747,0,outputs\onnx\task047.onnx,tried,A,same_shape_local_mask_or_recolor
task048,5x5;5x7;6x7;6x7;6x7;6x6,1x1;1x1;1x1;1x1;1x1;1x1,False,True,False,False,False,3,2,0.0,False,False,True,True,True,none,False,False,False,False,False,462,0,outputs\onnx\task048.onnx,tried,B,bbox_crop_or_object_extraction
task049,10x10;20x20;10x15;13x15;18x15,3x3;2x3;3x2;3x4;2x2,False,True,False,False,False,8,5,0.0,False,False,True,True,False,none,False,False,False,False,False,942,0,outputs\onnx\task049.onnx,tried,B,bbox_crop_or_object_extraction
task050,7x13;10x11;12x11;9x6;3x3;5x6;7x6;12x11,7x13;10x11;12x11;9x6;3x3;5x6;7x6;12x11,True,False,False,False,False,2,3,0.5,False,False,True,False,False,both,False,True,True,False,True,675,0,outputs\onnx\task050.onnx,tried,F,symmetry_or_mirror_completion
task051,10x15;12x12;15x12,10x15;12x12;15x12,True,False,False,False,False,5,5,0.8,False,False,False,False,False,none,False,True,False,False,True,658,0,outputs\onnx\task051.onnx,tried,K,template_matching_or_finite_pattern
task052,3x3;3x3;3x3;3x3,3x3;3x3;3x3;3x3,True,False,False,True,False,7,2,0.7143,False,True,False,True,False,horizontal,False,True,True,False,False,283,0,outputs\onnx\task052.onnx,tried,A,same_shape_local_mask_or_recolor
task053,3x3;3x3;3x3;3x3,3x3;3x3;3x3;3x3,True,False,False,True,False,3,3,0.0,False,True,False,True,False,both,False,True,False,False,False,270,0,outputs\onnx\task053.onnx,tried,C,panel_selection_or_algebra
task054,30x30;30x30;30x30,30x30;30x30;30x30,True,False,False,True,False,7,7,0.4286,True,True,False,True,False,none,False,False,False,False,True,1061,0.0592,outputs\onnx\task054.onnx,tried,C,panel_selection_or_algebra
task055,18x19;12x14,18x19;12x14,True,False,False,True,False,2,7,0.5,False,True,False,True,True,vertical,False,True,True,False,True,5090,1.6273,outputs\onnx\task055.onnx,tried,C,panel_selection_or_algebra
task056,3x3;3x3;3x3;3x3;3x3;3x3;3x3,1x1;1x1;1x1;1x1;1x1;1x1;1x1,False,True,False,True,False,5,4,0.0,False,True,True,True,True,both,False,False,True,True,False,592,0,outputs\onnx\task056.onnx,tried,B,bbox_crop_or_object_extraction
task057,8x8;8x8;8x8,3x6;3x6;3x6,False,True,False,False,False,4,4,0.0,False,False,True,True,False,none,False,False,False,False,False,99,0,outputs\onnx\task057.onnx,tried,B,bbox_crop_or_object_extraction
task058,6x6;8x8;15x15;13x13;10x10,6x6;8x8;15x15;13x13;10x10,True,False,False,False,False,1,2,0.0,False,False,False,True,False,both,True,True,True,False,False,32257,3.4737,outputs\onnx\task058.onnx,tried,D,line_completion_or_projection
task059,11x11;11x11;11x11,11x11;11x11;11x11,True,False,False,True,False,5,5,0.2,False,True,True,True,True,none,False,True,False,False,True,12909,2.5579,outputs\onnx\task059.onnx,tried,C,panel_selection_or_algebra
task060,5x11;5x11,5x11;5x11,True,False,False,False,False,5,6,0.8,False,False,True,False,False,none,False,True,True,False,False,1057,0.0554,outputs\onnx\task060.onnx,tried,A,same_shape_local_mask_or_recolor
task061,18x18;18x18;18x18;18x18,18x18;18x18;18x18;18x18,True,False,False,True,False,9,8,0.8889,False,True,False,True,True,none,False,True,False,False,True,17726,2.875,outputs\onnx\task061.onnx,tried,C,panel_selection_or_algebra
task062,10x10;10x10;10x10;10x10,10x10;10x10;10x10;10x10,True,False,False,False,False,6,5,0.6667,False,False,False,True,False,none,False,True,True,False,False,4713,1.5503,outputs\onnx\task062.onnx,tried,A,same_shape_local_mask_or_recolor
task063,12x12;12x12;10x10,12x12;12x12;10x10,True,False,False,False,False,3,4,0.6667,False,False,False,True,True,none,False,True,True,False,True,276,0,outputs\onnx\task063.onnx,tried,A,same_shape_local_mask_or_recolor
task064,9x12;10x12;14x12;14x18,9x12;10x12;14x12;14x18,True,False,False,True,False,6,6,0.5,True,True,False,True,False,none,False,False,False,False,True,978,0,outputs\onnx\task064.onnx,tried,C,panel_selection_or_algebra
task065,5x5;7x7;11x11,2x2;3x3;5x5,False,True,False,True,False,5,4,0.0,False,True,False,True,False,none,False,False,False,False,True,561,0,outputs\onnx\task065.onnx,tried,C,panel_selection_or_algebra
task066,20x20;10x10;15x15,20x20;10x10;15x15,True,False,False,False,False,4,4,0.75,False,False,True,False,True,none,False,True,False,False,True,430,0,outputs\onnx\task066.onnx,tried,E,hole_fill_or_enclosed_region
task067,3x9;4x12;2x6,3x3;4x4;2x2,False,True,False,True,False,6,6,0.0,False,True,False,True,False,rotational,False,False,False,False,False,165,0,outputs\onnx\task067.onnx,tried,C,panel_selection_or_algebra
task068,10x10;10x10;10x10,10x10;10x10;10x10,True,False,False,False,False,10,5,0.4,False,False,True,False,False,none,False,True,False,False,True,199,0,outputs\onnx\task068.onnx,tried,H,object_copy_or_marker_paste
task069,10x10;10x10,10x10;10x10,True,False,False,False,False,6,5,0.8333,False,False,True,False,False,none,False,True,False,False,True,7362,1.9963,outputs\onnx\task069.onnx,tried,H,object_copy_or_marker_paste
task070,17x17;17x17;17x17,17x17;17x17;17x17,True,False,False,False,False,3,4,0.6667,False,False,True,False,True,none,False,False,True,False,True,258,0,outputs\onnx\task070.onnx,tried,A,same_shape_local_mask_or_recolor
task071,16x16;16x16,16x16;16x16,True,False,False,False,False,5,3,0.6,False,False,False,False,True,none,False,True,False,False,True,8238,2.1088,outputs\onnx\task071.onnx,tried,E,hole_fill_or_enclosed_region
task072,13x5;13x5;13x5;13x5,6x5;6x5;6x5;6x5,False,True,False,True,False,3,2,0.0,False,True,True,True,True,none,False,False,True,False,False,462,0,outputs\onnx\task072.onnx,tried,B,bbox_crop_or_object_extraction
task073,5x5;5x5;5x5,5x5;5x5;5x5,True,False,False,False,False,3,3,0.6667,False,False,False,False,False,horizontal,False,True,False,False,True,4550,1.5151,outputs\onnx\task073.onnx,tried,F,symmetry_or_mirror_completion
task074,30x30;30x30;30x30;30x30,30x30;30x30;30x30;30x30,True,False,False,False,False,10,9,0.9,False,False,True,False,True,none,False,True,False,False,True,321,0,outputs\onnx\task074.onnx,tried,E,hole_fill_or_enclosed_region
task075,9x13;9x13;9x13,9x13;9x13;9x13,True,False,False,True,False,10,9,0.8,False,True,True,True,True,none,False,True,False,False,True,509,0,outputs\onnx\task075.onnx,tried,C,panel_selection_or_algebra
task076,13x13;13x13;13x13,13x13;13x13;13x13,True,False,False,False,False,5,5,0.8,False,False,True,False,False,none,False,True,False,False,True,17538,2.8644,outputs\onnx\task076.onnx,tried,H,object_copy_or_marker_paste
task077,17x18;15x16;15x14,17x18;15x16;15x14,True,False,False,False,False,5,6,0.4,False,False,True,False,True,none,False,False,True,False,True,6972,1.9419,outputs\onnx\task077.onnx,tried,E,hole_fill_or_enclosed_region
task078,10x10;10x10;10x10,10x10;10x10;10x10,True,False,False,False,False,3,3,0.3333,False,False,True,False,False,none,False,False,False,False,True,276,0,outputs\onnx\task078.onnx,tried,H,object_copy_or_marker_paste
task079,14x14;14x14;14x14,3x3;3x3;3x3,False,True,False,False,False,6,3,0.0,False,False,True,True,False,none,False,False,False,False,False,1301,0.2631,outputs\onnx\task079.onnx,tried,B,bbox_crop_or_object_extraction
task080,24x24;27x27;27x27,24x24;27x27;27x27,True,False,False,True,False,6,6,0.8333,False,True,False,True,True,none,False,True,False,False,True,9335,2.2338,outputs\onnx\task080.onnx,tried,C,panel_selection_or_algebra
task081,7x7;7x7,7x7;7x7,True,False,False,False,False,2,3,0.5,False,False,True,False,False,none,False,True,True,False,True,627,0,outputs\onnx\task081.onnx,tried,H,object_copy_or_marker_paste
task082,6x10;6x7,6x10;6x7,True,False,False,False,False,4,4,0.75,False,False,True,False,True,none,False,True,False,False,True,443,0,outputs\onnx\task082.onnx,tried,E,hole_fill_or_enclosed_region
task083,3x4;3x4;3x4,6x8;6x8;6x8,False,False,True,False,True,3,3,0.0,False,False,True,True,True,vertical,False,False,False,False,True,9000,2.1972,outputs\onnx\task083.onnx,tried,H,object_copy_or_marker_paste
task084,15x15;3x3;7x7,15x15;3x3;7x7,True,False,False,False,False,4,6,0.75,False,False,False,True,False,vertical,False,True,True,False,True,722,0,outputs\onnx\task084.onnx,tried,A,same_shape_local_mask_or_recolor
task085,8x30;8x20,8x30;8x20,True,False,False,False,False,5,5,0.2,False,False,True,False,True,none,False,True,False,False,True,558,0,outputs\onnx\task085.onnx,tried,E,hole_fill_or_enclosed_region
task086,10x10;10x10;10x10,10x10;10x10;10x10,True,False,False,False,False,7,7,0.8571,False,False,False,False,False,both,False,True,False,False,True,1153,0.1424,outputs\onnx\task086.onnx,tried,F,symmetry_or_mirror_completion
task087,3x3;3x3;3x3;3x3,3x3;3x3;3x3;3x3,True,False,False,True,False,7,7,0.0,False,True,False,True,False,none,False,False,False,False,False,144,0,outputs\onnx\task087.onnx,tried,C,panel_selection_or_algebra
task088,7x7;12x9;12x14;12x18,3x3;3x5;4x4;4x8,False,True,False,False,False,6,5,0.0,False,False,True,True,False,none,False,False,False,False,True,10824,2.3818,outputs\onnx\task088.onnx,tried,B,bbox_crop_or_object_extraction
task089,13x13;13x13;13x13;13x13,13x13;13x13;13x13;13x13,True,False,False,False,False,6,6,0.8333,False,False,True,False,False,none,False,True,False,False,True,879,0,outputs\onnx\task089.onnx,tried,H,object_copy_or_marker_paste
task090,3x30;4x20;2x20;4x20,3x30;4x20;2x20;4x20,True,False,False,True,False,3,4,0.6667,False,True,True,True,True,none,False,True,True,False,True,438,0,outputs\onnx\task090.onnx,tried,A,same_shape_local_mask_or_recolor
task091,9x9;9x11;11x13,5x5;5x7;6x5,False,True,False,False,False,3,3,0.0,False,False,True,False,False,none,False,False,False,False,True,963,0,outputs\onnx\task091.onnx,tried,B,bbox_crop_or_object_extraction
task092,30x20;20x10,30x20;20x10,True,False,False,False,False,9,9,0.8889,False,False,True,False,False,none,False,True,False,False,False,90,0,outputs\onnx\task092.onnx,tried,A,same_shape_translation_based
task093,14x14;14x14;14x14,14x14;14x14;14x14,True,False,False,True,False,5,2,0.2,False,True,True,True,False,none,False,False,False,False,True,667,0,outputs\onnx\task093.onnx,tried,C,panel_selection_or_algebra
task094,15x15;15x15,15x15;15x15,True,False,False,True,False,2,3,0.5,True,True,False,False,False,none,False,False,True,False,True,802,0,outputs\onnx\task094.onnx,tried,C,panel_selection_or_algebra
task095,9x9;9x9,9x9;9x9,True,False,False,False,False,2,3,0.5,False,False,True,False,False,none,False,True,True,False,False,4550,1.5151,outputs\onnx\task095.onnx,tried,A,same_shape_translation_based
task096,13x17;18x18;18x18,7x7;7x7;11x11,False,True,False,True,False,8,8,0.0,True,True,False,False,True,none,False,False,False,False,True,8858,2.1813,outputs\onnx\task096.onnx,tried,B,bbox_crop_or_object_extraction
task097,16x11;12x18;11x19;17x9,16x11;12x18;11x19;17x9,True,False,False,False,False,5,5,0.2,False,False,True,False,True,none,False,True,False,False,True,1938,0.6617,outputs\onnx\task097.onnx,tried,E,hole_fill_or_enclosed_region
task098,18x16;8x7;11x12,18x16;8x7;11x12,True,False,False,False,False,8,8,0.125,False,False,True,False,True,horizontal,False,True,False,False,True,4550,1.5151,outputs\onnx\task098.onnx,tried,E,hole_fill_or_enclosed_region
